# ===== 1. 오브젝트 (경로 | 활성 | 월드 좌표/회전/스케일 | 컴포넌트) =====
Audio | active=1 | pos=(0.0000,0.0000,0.0000) rot=(0.000,0.000,0.000) scale=(1.0000,1.0000,1.0000) | Transform
Audio/AmbienceSource | active=1 | pos=(0.0000,0.0000,0.0000) rot=(0.000,0.000,0.000) scale=(1.0000,1.0000,1.0000) | AudioSource,Transform
Audio/CornerSource_0 | active=1 | pos=(-4.5000,1.5000,0.0000) rot=(0.000,0.000,0.000) scale=(1.0000,1.0000,1.0000) | AudioSource,Transform
Audio/CornerSource_1 | active=1 | pos=(4.5000,0.2000,0.0000) rot=(0.000,0.000,0.000) scale=(1.0000,1.0000,1.0000) | AudioSource,Transform
Audio/CornerSource_2 | active=1 | pos=(-4.5000,-3.8000,0.0000) rot=(0.000,0.000,0.000) scale=(1.0000,1.0000,1.0000) | AudioSource,Transform
Audio/CornerSource_3 | active=1 | pos=(4.5000,-3.8000,0.0000) rot=(0.000,0.000,0.000) scale=(1.0000,1.0000,1.0000) | AudioSource,Transform
Audio/DoorSourceClear | active=1 | pos=(0.0000,0.0000,0.0000) rot=(0.000,0.000,0.000) scale=(1.0000,1.0000,1.0000) | AudioSource,Transform
Audio/DoorSourceMuffled | active=1 | pos=(0.0000,0.0000,0.0000) rot=(0.000,0.000,0.000) scale=(1.0000,1.0000,1.0000) | AudioSource,Transform
Audio/HeartbeatSource | active=1 | pos=(0.0000,0.0000,0.0000) rot=(0.000,0.000,0.000) scale=(1.0000,1.0000,1.0000) | AudioSource,Transform
Audio/PhoneSource | active=1 | pos=(-3.1000,6.2000,0.0000) rot=(0.000,0.000,0.000) scale=(1.0000,1.0000,1.0000) | AudioSource,Transform
Audio/RoomSource | active=1 | pos=(0.0000,0.0000,0.0000) rot=(0.000,0.000,0.000) scale=(1.0000,1.0000,1.0000) | AudioSource,Transform
Audio/SoundManager | active=1 | pos=(0.0000,0.0000,0.0000) rot=(0.000,0.000,0.000) scale=(1.0000,1.0000,1.0000) | SoundManager,Transform
Audio/WindowSource | active=1 | pos=(0.0000,0.0000,0.0000) rot=(0.000,0.000,0.000) scale=(1.0000,1.0000,1.0000) | AudioSource,Transform
Dawn | active=1 | pos=(0.0000,0.0000,0.0000) rot=(0.000,0.000,0.000) scale=(1.0000,1.0000,1.0000) | DawnWindowView,Transform
Dawn/FloorPatchGrid | active=1 | pos=(2.5000,0.6200,0.0500) rot=(0.000,0.000,0.000) scale=(1.0000,1.0000,1.0000) | SpriteRenderer,Transform
Dawn/FloorPatchHaze | active=1 | pos=(2.5000,0.6200,0.0500) rot=(0.000,0.000,0.000) scale=(1.0000,1.0000,1.0000) | SpriteRenderer,Transform
Directors | active=1 | pos=(0.0000,0.0000,0.0000) rot=(0.000,0.000,0.000) scale=(1.0000,1.0000,1.0000) | Transform
Directors/EndingDirector | active=1 | pos=(0.0000,0.0000,0.0000) rot=(0.000,0.000,0.000) scale=(1.0000,1.0000,1.0000) | Transform
Directors/PrologueDirector | active=1 | pos=(0.0000,0.0000,0.0000) rot=(0.000,0.000,0.000) scale=(1.0000,1.0000,1.0000) | PrologueDirector,Transform
Directors/RecoveryHintDirector | active=1 | pos=(0.0000,0.0000,0.0000) rot=(0.000,0.000,0.000) scale=(1.0000,1.0000,1.0000) | RecoveryHintDirector,Transform
EventSystem | active=1 | pos=(0.0000,0.0000,0.0000) rot=(0.000,0.000,0.000) scale=(1.0000,1.0000,1.0000) | EventSystem,InputSystemUIInputModule,Transform
GlobalVolume | active=1 | pos=(0.0000,0.0000,0.0000) rot=(0.000,0.000,0.000) scale=(1.0000,1.0000,1.0000) | SanityFeedback,Transform,Volume
Lighting | active=1 | pos=(0.0000,0.0000,0.0000) rot=(0.000,0.000,0.000) scale=(1.0000,1.0000,1.0000) | LightingController,Transform
Lighting/BuddhaCandleLight | active=1 | pos=(-1.0000,2.0000,0.0000) rot=(0.000,0.000,0.000) scale=(1.0000,1.0000,1.0000) | Light2D,Transform
Lighting/CornerLight_0 | active=1 | pos=(-4.5000,1.5000,0.0000) rot=(0.000,0.000,0.000) scale=(1.0000,1.0000,1.0000) | Light2D,Transform
Lighting/CornerLight_1 | active=1 | pos=(4.5000,0.2000,0.0000) rot=(0.000,0.000,0.000) scale=(1.0000,1.0000,1.0000) | Light2D,Transform
Lighting/CornerLight_2 | active=1 | pos=(-4.5000,-3.8000,0.0000) rot=(0.000,0.000,0.000) scale=(1.0000,1.0000,1.0000) | Light2D,Transform
Lighting/CornerLight_3 | active=1 | pos=(4.5000,-3.8000,0.0000) rot=(0.000,0.000,0.000) scale=(1.0000,1.0000,1.0000) | Light2D,Transform
Lighting/GlobalLight2D | active=1 | pos=(0.0000,0.0000,0.0000) rot=(0.000,0.000,0.000) scale=(1.0000,1.0000,1.0000) | Light2D,Transform
Lighting/TVLight | active=1 | pos=(3.5000,-1.0000,0.0000) rot=(0.000,0.000,0.000) scale=(1.0000,1.0000,1.0000) | Light2D,Transform
Lighting/WindowDawnLight | active=1 | pos=(2.5000,2.1300,0.0000) rot=(0.000,0.000,0.000) scale=(1.0000,1.0000,1.0000) | Light2D,Transform
Main Camera | active=1 | pos=(0.0000,0.0000,-10.0000) rot=(0.000,0.000,0.000) scale=(1.0000,1.0000,1.0000) | AudioListener,Camera,Transform,UniversalAdditionalCameraData
Player | active=1 | pos=(0.0000,-1.0000,0.0000) rot=(0.000,0.000,0.000) scale=(1.0000,1.0000,1.0000) | CircleCollider2D,PlayerController,PlayerInteraction,PlayerSpriteView,Rigidbody2D,Transform
